,city,country
0,vaini,to
1,mataura,pf
2,rikitea,pf
3,punta arenas,cl
4,ushuaia,ar
5,hermanus,za
6,bredasdorp,za
7,kruisfontein,za
8,port elizabeth,za
9,port alfred,za
10,east london,za
11,taolanaro,mg
12,busselton,au
13,albany,au
14,new norfolk,au
15,hobart,au
16,bluff,nz
17,kaitangata,nz
18,cape town,za
19,avarua,ck
20,saint-philippe,re
21,mar del plata,ar
22,chuy,uy
23,tsihombe,mg
24,souillac,mu
25,tuatapere,nz
26,cidreira,br
27,portland,au
28,mount gambier,au
29,dunedin,nz
30,castro,cl
31,arraial do cabo,br
32,mahebourg,mu
33,esperance,au
34,rocha,uy
35,umzimvubu,za
36,necochea,ar
37,jamestown,sh
38,rio gallegos,ar
39,rawson,ar
40,port lincoln,au
41,coihaique,cl
42,comodoro rivadavia,ar
43,christchurch,nz
44,plettenberg bay,za
45,waipawa,nz
46,viedma,ar
47,saldanha,za
48,waitati,nz
49,wyndham,nz
50,southbridge,nz
51,lincoln,nz
52,laguna,br
53,margate,za
54,burnie,au
55,otautau,nz
56,milton,nz
57,rio grande,br
58,te anau,nz
59,wanaka,nz
60,ranfurly,nz
61,pareora,nz
62,trelew,ar
63,fairlie,nz
64,rakaia,nz
65,calbuco,cl
66,san carlos de bariloche,ar
67,puerto madryn,ar
68,hokitika,nz
69,oxford,nz
70,amberley,nz
71,seddon,nz
72,ancud,cl
73,puerto montt,cl
74,bambous virieux,mu
75,warrnambool,au
76,ulverstone,au
77,launceston,au
78,batemans bay,au
79,ulladulla,au
80,greymouth,nz
81,reefton,nz
82,hanmer springs,nz
83,wellington,nz
84,otane,nz
85,purranque,cl
86,neuquen,ar
87,general roca,ar
88,tres arroyos,ar
89,westport,nz
90,karamea,nz
91,riwaka,nz
92,havelock,nz
93,porirua,nz
94,masterton,nz
95,takapau,nz
96,gisborne,nz
97,valdivia,cl
98,la union,cl
99,panguipulli,cl
100,punta alta,ar
101,maldonado,uy
102,victor harbor,au
103,colac,au
104,devonport,au
105,lakes entrance,au
106,takaka,nz
107,manaia,nz
108,wanganui,nz
109,wairoa,nz
110,lebu,cl
111,carahue,cl
112,nueva imperial,cl
113,villarrica,cl
114,santa rosa,ar
115,bahia blanca,ar
116,crib point,au
117,wonthaggi,au
118,sale,au
119,kiama,au
120,okato,nz
121,new plymouth,nz
122,piopio,nz
123,turangi,nz
124,manutuke,nz
125,tolaga bay,nz
126,angol,cl
127,mulchen,cl
128,luderitz,na
129,knysna,za
130,port shepstone,za
131,flinders,au
